date,confimedCases,recovered,deaths
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
02/01/2020,0,0,0
02/02/2020,0,0,0
02/03/2020,0,0,0
02/04/2020,0,0,0
02/05/2020,0,0,0
02/06/2020,0,0,0
02/07/2020,0,0,0
02/08/2020,0,0,0
02/09/2020,0,0,0
02/10/2020,0,0,0
02/11/2020,0,0,0
02/12/2020,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
03/01/2020,0,0,0
03/02/2020,0,0,0
03/03/2020,0,0,0
03/04/2020,0,0,0
03/05/2020,0,0,0
03/06/2020,0,0,0
03/07/2020,0,0,0
03/08/2020,0,0,0
03/09/2020,0,0,0
03/10/2020,0,0,0
03/11/2020,0,0,0
03/12/2020,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,2,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,12,0,0
3/26/20,16,0,0
3/27/20,22,0,0
3/28/20,28,0,0
3/29/20,29,0,0
3/30/20,35,0,0
3/31/20,35,0,0
04/01/2020,36,0,0
04/02/2020,39,0,1
04/03/2020,39,2,1
04/04/2020,39,2,1
04/05/2020,39,3,1
04/06/2020,39,5,1
04/07/2020,39,7,1
04/08/2020,39,7,1
04/09/2020,39,24,1
04/10/2020,40,25,2
04/11/2020,40,28,2
04/12/2020,43,30,2
4/13/20,45,30,2
4/14/20,45,30,2
4/15/20,48,30,2
4/16/20,48,30,2
4/17/20,52,30,2
4/18/20,57,33,2
4/19/20,61,33,3
4/20/20,65,35,3
4/21/20,70,35,3
4/22/20,74,35,3
4/23/20,76,37,3
4/24/20,84,37,3
4/25/20,84,37,3
4/26/20,88,42,3
4/27/20,88,42,3
4/28/20,95,42,3
4/29/20,97,54,3
4/30/20,106,55,3
05/01/2020,109,74,3
05/02/2020,119,75,3
05/03/2020,124,78,3
05/04/2020,137,78,3
05/05/2020,138,92,3
05/06/2020,146,101,4
05/07/2020,153,103,4
05/08/2020,167,111,4
05/09/2020,252,112,7
05/10/2020,267,117,7
05/11/2020,267,117,7
05/12/2020,441,117,7
5/13/20,446,124,7
5/14/20,654,124,7
5/15/20,654,124,7
5/16/20,679,183,7
5/17/20,753,188,7
5/18/20,761,192,7
5/19/20,772,192,7
5/20/20,832,197,7
5/21/20,866,302,7
5/22/20,920,336,7
